196.	nuevo	572	nuevo
197.	será	570	ser
198.	haciendo	568	hacer
días, days,		día
200.	nombre	565	nombre
201.	buen	565	bueno
202.	había	564	haber
ven,	564	ver venir
204.	tres	562	tres
205.	menos	560	menos
206.	debe	560	deber
207.	tenía	555	tener
mal, bad,	mal
209.	conmigo	551	conmigo
madre, mother,		madre
211.	hoy	548	hoy
212.	quien	547	quien
213.	sido	534	ser
215.	tienen	529	tener
216.	luego	519	luego
217.	todas	516	todo
218.	allí	507	allí
219.	toda	502	todo
hora, hour,		hora
221.	mujer	495	mujer
222.	visto	490	ver
223.	haces	490	hacer
224.	importa	487	importar
225.	contigo	486	contigo
226.	ve	481	ver ir
227.	tarde	480	tarde tardar
228.	oye	480	oír
229.	parte	479	partir parte
230.	haber	477	haber
231.	hombres	477	hombre
232.	problema	470	problema
233.	mas	469	mas
234.	saber	465	saber
235.	quería	463	querer
236.	aún	461	aún
237.	veces	460	vez
238.	nuestra	458	nuestro
239.	hacerlo	454	hacer
240.	cada	449	cada
241.	hizo	440	hacer
242.	veo	439	ver
243.	tanto	438	tanto
244.	razón	437	razón
245.	ustedes	437	usted
246.	idea	432	idea
247.	esos	426	eso
248.	van	424	ir
249.	quizá	422	quizá
250.	debo	421	deber
251.	alguna	420	alguno
252.	cierto	419	cierto
253.	ud	414	usted
254.	muerto	413	muerto morir
256.	estos	408	este
257.	salir	407	salir
258.	policía	407	policía
259.	realmente	402	realmente
260.	demasiado	402	demasiado
familia, family,		familia
262.	pueden	396	poder
263.	cabeza	396	cabeza
264.	hemos	391	haber
amigos, friends,		amigo
266.	chica	383	chico chica
267.	cariño	382	cariño
268.	lado	382	lado
269.	allá	380	allá
270.	entre	379	entre
271.	minutos	379	minuto
272.	digo	378	decir
273.	algún	378	algún
274.	serio	375	serio
275.	cuidado	372	cuidar cuidado
276.	pasó	371	pasar
277.	buenas	370	bueno
278.	somos	369	ser
amor, love,	amor
280.	puerta	364	puerta
281.	ves	363	ver
282.	vaya	363	ir
283.	ah	363	ah
284.	suerte	358	suerte
285.	eh	357	eh
286.	rápido	357	rápido
287.	cuenta	354	contar cuenta
288.	quizás	352	quizás
289.	esas	349	ese
290.	pues	348	pues
291.	pasado	344	pasar pasado
292.	pensé	344	pensar
293.	todavía	340	todavía
hermano, brother,	hermano
295.	debes	338	deber
296.	casi	338	casi
297.	forma	337	forma
298.	aqui	336	aquí
299.	chico	335	chico
301.	dicho	333	decir dicho
302.	nueva	332	nuevo nueva
303.	sabía	332	saber
304.	muchas	332	mucho
305.	dentro	331	dentro
306.	hice	330	hacer
307.	contra	329	contra
308.	auto	327	auto
309.	camino	325	camino caminar
310.	ayuda	325	ayuda ayudar
311.	primera	325	primero primera
312.	hacia	324	hacia
313.	vi	324	ver
314.	miedo	324	miedo
315.	adiós	322	adiós
316.	primero	322	primero
317.	debería	321	deber
318.	poder	318	poder
319.	niños	316	niño
320.	sería	316	ser
321.	historia	316	historia
322.	hey	315	hey
323.	mientras	314	mientras
324.	ciudad	313	ciudad
325.	dijiste	313	decir
326.	espero	310	esperar
327.	cuánto	309	cuánto
328.	esposa	309	esposa esposar
pronto, quickly, 		pronto
330.	chicos	307	chico
331.	cualquier	307	cualquier
332.	viejo	307	viejo
333.	debemos	307	deber
334.	deja	306	dejar
año, year,		año
336.	muerte	304	muerte
337.	hablando	304	hablar
338.	manos	304	mano
339.	da	304	dar
loco, crazy,		loco
problemas, problems,		problema
mano, hand,		mano
343.	guerra	298	guerra
semana, week,	semana
345.	pasar	295	pasar
346.	vale	294	valer vale
347.	cuál	292	cuál
348.	viene	292	venir
volver, to return,		volver
350.	toma	288	tomar
351.	caso	288	caso casar
agua, water,		agua
353.	haré	287	hacer
354.	vete	286	ir
355.	entiendo	286	entender
horas, hours,	286	hora
personas, people,		persona
358.	capitán	284	capitán
359.	adelante	283	adelante
360.	niño	282	niño
361.	listo	282	listo
noches, nights,		noche
buenos, good,		bueno
364.	iba	279	ir
365.	juntos	279	junto
366.	dame	276	dar
367.	único	276	único
368.	déjame	276	dejar
369.	cerca	276	cerca cercar
370.	otros	275	otro
sigue, go on,	seguir
grande, big,	grande
arriba, up - lets go,	arriba
jefe, boss,	jefe
375.	habla	273	hablar habla
376.	supongo	271	suponer
377.	manera	271	manera
378.	quieren	270	querer
feliz, happy,		feliz
380.	significa	269	significar
sangre, blood,		sangre
fin, end,	fin
383.	bajo	268	bajar bajo
384.	llama	267	llamar llama
385.	venir	266	venir
386.	morir	265	morir
importante, important,	importante
388.	hiciste	264	hacer
ojos, eyes,	ojo
390.	escucha	263	escuchar
391.	entrar	261	entrar
392.	ningún	260	ninguno
corazón, heart,	corazón
394.	diablos	259	diablo
395.	necesitamos	259	necesitar
396.	atrás	259	atrás
durante, firm,		durante
398.	dices	258	decir
399.	nuestros	257	nuestro
400.	persona	257	persona
401.	abajo	256	abajo
403.	hija	255	hija
404.	dejar	254	dejar
405.	necesita	254	necesitar
406.	llegar	254	llegar
407.	hago	253	hacer
